original tokens,,edited tokens,deleted tokens,added tokens,replaced tokens,sentences,paragraphs,punctuations,word_punctuation,character names,place names,special words
can,,,s,,,,,,,,,
we,,going,,,,,,,,,,
—,,through,,,,,,,,,,
”,,the,,,,,,,,,,
Hermione,,trapdoor,,,,,,,,,,
gasped,,tonight,,,,,,,,,,
.,,.,,,,EOS,,p,w_p_pre,,,
Harry,,He’s,,,He,BOS,,,,,,
and,,,’,,,,,,,,,
Ron,,,s,,,,,,,,,
wheeled,,found,,,,,,,,,,
round,,out,,,,,,,,,,
.,,everything,,,,,,,,,,
Snape,,he,,,,,,,,,,
was,,needs,,,,,,,,,,
standing,,",",,,,,,p,w_p_pre,,,
there,,and,,,,,,,,,,
.,,now,,,,,,,,,,
“,,he’s,,,he,,,,,,,
Good,,,’,,,,,,,,,
afternoon,,,s,,,,,,,,,
",”",,got,,,,,,,,,,
he,,Dumbledore,,,,,,,,,,
said,,out,,,,,,,,,,
smoothly,,of,,,,,,,,,,
.,,the,,,,,,,,,,
They,,way,,,,,,,,,,
stared,,.,,,,EOS,,p,w_p_pre,,,
at,,He,,,,BOS,,,,,,
him,,sent,,,,,,,,,,
.,,that,,,,,,,,,,
“,,note,,,,,,,,,,
You,,",",,,,,,p,w_p_pre,,,
shouldn,,I,,,,,,,,,,
’,,bet,,,,,,,,,,
t,,the,,,,,,,,,,
be,,Ministry,,,,,,,,,,
inside,,of,,,,,,,,,,
on,,Magic,,,,,,,,,,
a,,will,,,,,,,,,,
day,,get,,,,,,,,,,
like,,a,,,,,,,,,,
this,,real,,,,,,,,,,
",”",,shock,,,,,,,,,,
he,,when,,,,,,,,,,
said,,Dumbledore,,,,,,,,,,
",",,turns,,,,,,,,,,
with,,up,,,,,,,,,,
an,,.,,,.”,,,p,w_p_pre,,,
odd,,”,,add,,EOS,,p,w_p_pre,,,
",",,“,,,,BOS,,p,w_p_fol,,,
twisted,,But,,,,,,,,,,
smile,,what,,,,,,,,,,
.,,can,,,,,,,,,,
“,,we,,,,,,,,,,
We,,—,,,,,,p,w_p_pre,,,
were,,”,,,,,,p,w_p_pre,,,
—,,Hermione,,,,,,,,,,
”,,gasped,,,,,,,,,,
Harry,,.,,,,EOS,,p,w_p_pre,,,
began,,Harry,,,,BOS,,,,,,
",",,and,,,,,,,,,,
without,,Ron,,,,,,,,,,
any,,wheeled,,,,,,,,,,
idea,,round,,,,,,,,,,
what,,.,,,,EOS,EOP,p,w_p_pre,,,
he,,Snape,,,,BOS,BOP,,,,,
was,,was,,,,,,,,,,
going,,standing,,,,,,,,,,
to,,there,,,,,,,,,,
say,,.,,,,EOS,,p,w_p_pre,,,
.,,“,,,,BOS,,p,w_p_fol,,,
“,,Good,,,,,,,,,,
You,,afternoon,,,,,,,,,,
want,,",",,,",”",,,p,w_p_pre,,,
to,,”,,add,,,,p,w_p_pre,,,
be,,he,,,,,,,,,,
more,,said,,,,,,,,,,
careful,,smoothly,,,,,,,,,,
",”",,.,,,,EOS,,p,w_p_pre,,,
said,,They,,,,BOS,,,,,,
Snape,,stared,,,,,,,,,,
.,,at,,,,,,,,,,
“,,him,,,,,,,,,,
Hanging,,.,,,,EOS,,p,w_p_pre,,,
around,,“,,,,BOS,,p,w_p_fol,,,
like,,You,,,,,,,,,,
this,,shouldn’t,,,shouldn,,,,,,,
",",,,’,,,,,,,,,
people,,,t,,,,,,,,,
will,,be,,,,,,,,,,
think,,inside,,,,,,,,,,
you,,on,,,,,,,,,,
’,,a,,,,,,,,,,
re,,day,,,,,,,,,,
up,,like,,,,,,,,,,
to,,this,,,,,,,,,,
something,,",",,,",”",,,p,w_p_pre,,,
.,,”,,add,,,,p,w_p_pre,,,
And,,he,,,,,,,,,,
Gryffindor,,said,,,,,,,,,,
really,,",",,,,,,p,w_p_pre,,,
can,,with,,,,,,,,,,
’,,an,,,,,,,,,,
t,,odd,,,,,,,,,,
afford,,",",,,,,,p,w_p_pre,,,
to,,twisted,,,,,,,,,,
lose,,smile,,,,,,,,,,
any,,.,,,,EOS,,p,w_p_pre,,,
more,,“,,,,BOS,,p,w_p_fol,,,
points,,We,,,,,,,,,,
",",,were,,,,,,,,,,
can,,—,,,,,,p,w_p_pre,,,
it,,”,,,,,,p,w_p_pre,,,
?”,,Harry,,,,,,,,,,
Harry,,began,,,,,,,,,,
flushed,,",",,,,,,p,w_p_pre,,,
.,,without,,,,,,,,,,
They,,any,,,,,,,,,,
turned,,idea,,,,,,,,,,
to,,what,,,,,,,,,,
go,,he,,,,,,,,,,
outside,,was,,,,,,,,,,
",",,going,,,,,,,,,,
but,,to,,,,,,,,,,
Snape,,say,,,,,,,,,,
called,,.,,,,EOS,,p,w_p_pre,,,
them,,“,,,,BOS,,p,w_p_fol,,,
back,,You,,,,,,,,,,
.,,want,,,,,,,,,,
“,,to,,,,,,,,,,
Be,,be,,,,,,,,,,
warned,,more,,,,,,,,,,
",",,careful,,,,,,,,,,
Potter,,",",,,",”",,,p,w_p_pre,,,
—,,”,,add,,,,p,w_p_pre,,,
any,,said,,,,,,,,,,
more,,Snape,,,,,,,,,,
nighttime,,.,,,,EOS,,p,w_p_pre,,,
wanderings,,“,,,,BOS,,p,w_p_fol,,,
and,,Hanging,,,,,,,,,,
I,,around,,,,,,,,,,
will,,like,,,,,,,,,,
personally,,this,,,,,,,,,,
make,,",",,,,,,p,w_p_pre,,,
sure,,people,,,,,,,,,,
you,,will,,,,,,,,,,
are,,think,,,,,,,,,,
expelled,,you’re,,,you,,,,,,,
.,,,’,,,,,,,,,
Good,,,re,,,,,,,,,
day,,up,,,,,,,,,,
to,,to,,,,,,,,,,
you,,something,,,,,,,,,,
.”,,.,,,,EOS,,p,w_p_pre,,,
He,,And,,,,BOS,,,,,,
strode,,Gryffindor,,,,,,,,,,
off,,really,,,,,,,,,,
in,,can’t,,,can,,,,,,,
the,,,’,,,,,,,,,
direction,,,t,,,,,,,,,
of,,afford,,,,,,,,,,
the,,to,,,,,,,,,,
staffroom,,lose,,,,,,,,,,
.,,any,,,,,,,,,,
Out,,more,,,,,,,,,,
on,,points,,,,,,,,,,
the,,",",,,,,,p,w_p_pre,,,
stone,,can,,,,,,,,,,
steps,,it,,,,,,,,,,
",",,?,,,?”,,,p,w_p_pre,,,
Harry,,”,,add,,EOS,EOP,p,w_p_pre,,,
turned,,Harry,,,,BOS,BOP,,,,,
to,,flushed,,,,,,,,,,
the,,.,,,,EOS,,p,w_p_pre,,,
others,,They,,,,BOS,,,,,,
.,,turned,,,,,,,,,,
“,,to,,,,,,,,,,
Right,,go,,,,,,,,,,
",",,outside,,,,,,,,,,
here,,",",,,,,,p,w_p_pre,,,
’,,but,,,,,,,,,,
s,,Snape,,,,,,,,,,
what,,called,,,,,,,,,,
we,,them,,,,,,,,,,
’,,back,,,,,,,,,,
ve,,.,,,,EOS,,p,w_p_pre,,,
got,,“,,,,BOS,,p,w_p_fol,,,
to,,Be,,,,,,,,,,
do,,warned,,,,,,,,,,
",”",,",",,,,,,p,w_p_pre,,,
he,,Potter,,,,,,,,,,
whispered,,—,,,,,,p,w_p_pre,,,
urgently,,any,,,,,,,,,,
.,,more,,,,,,,,,,
“,,nighttime,,,,,,,,,,
One,,wanderings,,,,,,,,,,
of,,and,,,,,,,,,,
us,,I,,,,,,,,,,
has,,will,,,,,,,,,,
got,,personally,,,,,,,,,,
to,,make,,,,,,,,,,
keep,,sure,,,,,,,,,,
an,,you,,,,,,,,,,
eye,,are,,,,,,,,,,
on,,expelled,,,,,,,,,,
Snape,,.,,,,EOS,,p,w_p_pre,,,
—,,Good,,,,BOS,,,,,,
wait,,day,,,,,,,,,,
outside,,to,,,,,,,,,,
the,,you,,,,,,,,,,
staff,,.,,,.”,,,p,w_p_pre,,,
room,,”,,add,,EOS,,p,w_p_pre,,,
and,,He,,,,BOS,,,,,,
follow,,strode,,,,,,,,,,
him,,off,,,,,,,,,,
if,,in,,,,,,,,,,
he,,the,,,,,,,,,,
leaves,,direction,,,,,,,,,,
it,,of,,,,,,,,,,
.,,the,,,,,,,,,,
Hermione,,staffroom,,,,,,,,,,
",",,.,,,,EOS,EOP,p,w_p_pre,,,
you,,Out,,,,BOS,BOP,,,,,
’,,on,,,,,,,,,,
d,,the,,,,,,,,,,
better,,stone,,,,,,,,,,
do,,steps,,,,,,,,,,
that,,",",,,,,,p,w_p_pre,,,
.”,,Harry,,,,,,,,,,
“,,turned,,,,,,,,,,
Why,,to,,,,,,,,,,
me,,the,,,,,,,,,,
?”,,others,,,,,,,,,,
“,,.,,,,EOS,,p,w_p_pre,,,
It,,“,,,,BOS,,p,w_p_fol,,,
’,,Right,,,,,,,,,,
s,,",",,,,,,p,w_p_pre,,,
obvious,,here’s,,,here,,,,,,,
",”",,,’,,,,,,,,,
said,,,s,,,,,,,,,
Ron,,what,,,,,,,,,,
.,,we’ve,,,we,,,,,,,
“,,,’,,,,,,,,,
You,,,ve,,,,,,,,,
can,,got,,,,,,,,,,
pretend,,to,,,,,,,,,,
to,,do,,,,,,,,,,
be,,",",,,",”",,,p,w_p_pre,,,
waiting,,”,,add,,,,p,w_p_pre,,,
for,,he,,,,,,,,,,
Professor,,whispered,,,,,,,,,,
Flitwick,,urgently,,,,,,,,,,
",",,.,,,,EOS,,p,w_p_pre,,,
you,,“,,,,BOS,,p,w_p_fol,,,
know,,One,,,,,,,,,,
.”,,of,,,,,,,,,,
He,,us,,,,,,,,,,
put,,has,,,,,,,,,,
on,,got,,,,,,,,,,
a,,to,,,,,,,,,,
high,,keep,,,,,,,,,,
voice,,an,,,,,,,,,,
",",,eye,,,,,,,,,,
‘“,,on,,,,,,,,,,
Oh,,Snape,,,,,,,,,,
Professor,,—,,,,,,p,w_p_pre,,,
Flitwick,,wait,,,,,,,,,,
",",,outside,,,,,,,,,,
I,,the,,,,,,,,,,
’,,staff,,,,,,,,,,
m,,room,,,,,,,,,,
so,,and,,,,,,,,,,
worried,,follow,,,,,,,,,,
",",,him,,,,,,,,,,
I,,if,,,,,,,,,,
think,,he,,,,,,,,,,
I,,leaves,,,,,,,,,,
got,,it,,,,,,,,,,
question,,.,,,,EOS,,p,w_p_pre,,,
fourteen,,Hermione,,,,BOS,,,,,,
b,,",",,,,,,p,w_p_pre,,,
wrong,,you’d,,,you,,,,,,,
...,,,’,,,,,,,,,
’”,,,d,,,,,,,,,
“,,better,,,,,,,,,,
Oh,,do,,,,,,,,,,
",",,that,,,,,,,,,,
shut,,.,,,.”,,,p,w_p_pre,,,
up,,”,,add,,EOS,,p,w_p_pre,,,
",”",,“,,,,BOS,,p,w_p_fol,,,
said,,Why,,,,,,,,,,
Hermione,,me,,,,,,,,,,
",",,?,,,?”,,,p,w_p_pre,,,
but,,”,,add,,EOS,,p,w_p_pre,,,
she,,“,,,,BOS,,p,w_p_fol,,,
agreed,,It’s,,,It,,,,,,,
to,,,’,,,,,,,,,
go,,,s,,,,,,,,,
and,,obvious,,,,,,,,,,
watch,,",",,,",”",,,p,w_p_pre,,,
out,,”,,add,,,,p,w_p_pre,,,
for,,said,,,,,,,,,,
Snape,,Ron,,,,,,,,,,
.,,.,,,,EOS,,p,w_p_pre,,,
“,,“,,,,BOS,,p,w_p_fol,,,
And,,You,,,,,,,,,,
we,,can,,,,,,,,,,
’,,pretend,,,,,,,,,,
d,,to,,,,,,,,,,
better,,be,,,,,,,,,,
stay,,waiting,,,,,,,,,,
outside,,for,,,,,,,,,,
the,,Professor,,,,,,,,,,
third,,Flitwick,,,,,,,,,,
-,,",",,,,,,p,w_p_pre,,,
floor,,you,,,,,,,,,,
corridor,,know,,,,,,,,,,
",”",,.,,,.”,,,p,w_p_pre,,,
Harry,,”,,add,,EOS,,p,w_p_pre,,,
told,,He,,,,BOS,,,,,,
Ron,,put,,,,,,,,,,
.,,on,,,,,,,,,,
“,,a,,,,,,,,,,
Come,,high,,,,,,,,,,
on,,voice,,,,,,,,,,
.”,,",",,,,,,p,w_p_pre,,,
But,,“,,,‘“,,,p,w_p_fol,,,
that,,‘,,add,,,,p,w_p_fol,,,
part,,Oh,,,,,,,,,,
of,,Professor,,,,,,,,,,
the,,Flitwick,,,,,,,,,,
plan,,",",,,,,,p,w_p_pre,,,
didn,,I’m,,,I,,,,,,,
’,,,’,,,,,,,,,
t,,,m,,,,,,,,,
work,,so,,,,,,,,,,
.,,worried,,,,,,,,,,
No,,",",,,,,,p,w_p_pre,,,
sooner,,I,,,,,,,,,,
had,,think,,,,,,,,,,
they,,I,,,,,,,,,,
reached,,got,,,,,,,,,,
the,,question,,,,,,,,,,
door,,fourteen,,,,,,,,,,
separating,,b,,,,,,,,,,
Fluffy,,wrong,,,,,,,,,,
from,,.,,,...,,,p,w_p_pre,,,
the,,.,,add,,,,p,w_p_pre,,,
rest,,.,,add,,,,p,w_p_pre,,,
of,,’,,,’”,,,p,w_p_pre,,,
the,,”,,add,,EOS,,p,w_p_pre,,,
school,,“,,,,BOS,,p,w_p_fol,,,
than,,Oh,,,,,,,,,,
Professor,,",",,,,,,p,w_p_pre,,,
McGonagall,,shut,,,,,,,,,,
turned,,up,,,,,,,,,,
up,,",",,,",”",,,p,w_p_pre,,,
again,,”,,add,,,,p,w_p_pre,,,
and,,said,,,,,,,,,,
this,,Hermione,,,,,,,,,,
time,,",",,,,,,p,w_p_pre,,,
",",,but,,,,,,,,,,
she,,she,,,,,,,,,,
lost,,agreed,,,,,,,,,,
her,,to,,,,,,,,,,
temper,,go,,,,,,,,,,
.,,and,,,,,,,,,,
“,,watch,,,,,,,,,,
I,,out,,,,,,,,,,
suppose,,for,,,,,,,,,,
you,,Snape,,,,,,,,,,
think,,.,,,,EOS,EOP,p,w_p_pre,,,
you,,“,,,,BOS,BOP,p,w_p_fol,,,
’,,And,,,,,,,,,,
re,,we’d,,,we,,,,,,,
harder,,,’,,,,,,,,,
to,,,d,,,,,,,,,
get,,better,,,,,,,,,,
past,,stay,,,,,,,,,,
than,,outside,,,,,,,,,,
a,,the,,,,,,,,,,
pack,,third-floor,,,third,,,,,,,
of,,,-,,,,,,,,,
enchantments,,,floor,,,,,,,,,
!”,,corridor,,,,,,,,,,
she,,",",,,",”",,,p,w_p_pre,,,
stonned,,”,,add,,,,p,w_p_pre,,,
.,,Harry,,,,,,,,,,
“,,told,,,,,,,,,,
Enough,,Ron,,,,,,,,,,
of,,.,,,,EOS,,p,w_p_pre,,,
this,,“,,,,BOS,,p,w_p_fol,,,
nonsense,,Come,,,,,,,,,,
!,,on,,,,,,,,,,
If,,.,,,.”,,,p,w_p_pre,,,
I,,”,,add,,EOS,,p,w_p_pre,,,
hear,,But,,,,BOS,,,,,,
you,,that,,,,,,,,,,
’,,part,,,,,,,,,,
ve,,of,,,,,,,,,,
come,,the,,,,,,,,,,
anywhere,,plan,,,,,,,,,,
near,,didn’t,,,didn,,,,,,,
here,,,’,,,,,,,,,
again,,,t,,,,,,,,,
",",,work,,,,,,,,,,
I,,.,,,,EOS,,p,w_p_pre,,,
’,,No,,,,BOS,,,,,,
ll,,sooner,,,,,,,,,,
take,,had,,,,,,,,,,
another,,they,,,,,,,,,,
fifty,,reached,,,,,,,,,,
points,,the,,,,,,,,,,
from,,door,,,,,,,,,,
Gryffindor,,separating,,,,,,,,,,
!,,Fluffy,,,,,,,,,,
Yes,,from,,,,,,,,,,
",",,the,,,,,,,,,,
Weasley,,rest,,,,,,,,,,
",",,of,,,,,,,,,,
from,,the,,,,,,,,,,
my,,school,,,,,,,,,,
own,,than,,,,,,,,,,
house,,Professor,,,,,,,,,,
!”,,McGonagall,,,,,,,,,,
Harry,,turned,,,,,,,,,,
and,,up,,,,,,,,,,
Ron,,again,,,,,,,,,,
went,,and,,,,,,,,,,
back,,this,,,,,,,,,,
to,,time,,,,,,,,,,
the,,",",,,,,,p,w_p_pre,,,
common,,she,,,,,,,,,,
room,,lost,,,,,,,,,,
",",,her,,,,,,,,,,
Harry,,temper,,,,,,,,,,
had,,.,,,,EOS,,p,w_p_pre,,,
just,,“,,,,BOS,,p,w_p_fol,,,
said,,I,,,,,,,,,,
",",,suppose,,,,,,,,,,
“,,you,,,,,,,,,,
At,,think,,,,,,,,,,
least,,you’re,,,you,,,,,,,
Hermione,,,’,,,,,,,,,
’,,,re,,,,,,,,,
s,,harder,,,,,,,,,,
on,,to,,,,,,,,,,
Snape,,get,,,,,,,,,,
’,,past,,,,,,,,,,
s,,than,,,,,,,,,,
tail,,a,,,,,,,,,,
",”",,pack,,,,,,,,,,
when,,of,,,,,,,,,,
the,,enchantments,,,,,,,,,,
portrait,,!,,,!”,,,p,w_p_pre,,,
of,,”,,add,,,,p,w_p_pre,,,
the,,she,,,,,,,,,,
Fat,,stonned,,,,,,,,,,
Lady,,.,,,,EOS,,p,w_p_pre,,,
swung,,“,,,,BOS,,p,w_p_fol,,,
open,,Enough,,,,,,,,,,
and,,of,,,,,,,,,,
Hermione,,this,,,,,,,,,,
came,,nonsense,,,,,,,,,,
in,,!,,,,EOS,,p,w_p_pre,,,
.,,If,,,,BOS,,,,,,
“,,I,,,,,,,,,,
I,,hear,,,,,,,,,,
’,,you’ve,,,you,,,,,,,
m,,,’,,,,,,,,,
sorry,,,ve,,,,,,,,,
",",,come,,,,,,,,,,
Harry,,anywhere,,,,,,,,,,
!”,,near,,,,,,,,,,
she,,here,,,,,,,,,,
wailed,,again,,,,,,,,,,
.,,",",,,,,,p,w_p_pre,,,
“,,I’ll,,,I,,,,,,,
Snape,,,’,,,,,,,,,
came,,,ll,,,,,,,,,
out,,take,,,,,,,,,,
and,,another,,,,,,,,,,
asked,,fifty,,,,,,,,,,
me,,points,,,,,,,,,,
what,,from,,,,,,,,,,
I,,Gryffindor,,,,,,,,,,
was,,!,,,,EOS,,p,w_p_pre,,,
doing,,Yes,,,,BOS,,,,,,
",",,",",,,,,,p,w_p_pre,,,
so,,Weasley,,,,,,,,,,
I,,",",,,,,,p,w_p_pre,,,
said,,from,,,,,,,,,,
I,,my,,,,,,,,,,
was,,own,,,,,,,,,,
waiting,,house,,,,,,,,,,
for,,!,,,!”,,,p,w_p_pre,,,
Flitwick,,”,,add,,EOS,EOP,p,w_p_pre,,,
",",,Harry,,,,BOS,BOP,,,,,
and,,and,,,,,,,,,,
Snape,,Ron,,,,,,,,,,
went,,went,,,,,,,,,,
to,,back,,,,,,,,,,
get,,to,,,,,,,,,,
him,,the,,,,,,,,,,
",",,common,,,,,,,,,,
and,,room,,,,,,,,,,
I,,",",,,,,,p,w_p_pre,,,
’,,Harry,,,,,,,,,,
ve,,had,,,,,,,,,,
only,,just,,,,,,,,,,
just,,said,,,,,,,,,,
got,,",",,,,,,p,w_p_pre,,,
away,,“,,,,,,p,w_p_fol,,,
",",,At,,,,,,,,,,
I,,least,,,,,,,,,,
don,,Hermione’s,,,Hermione,,,,,,,
’,,,’,,,,,,,,,
t,,,s,,,,,,,,,
know,,on,,,,,,,,,,
where,,Snape’s,,,Snape,,,,,,,
Snape,,,’,,,,,,,,,
went,,,s,,,,,,,,,
.”,,tail,,,,,,,,,,
“,,",",,,",”",,,p,w_p_pre,,,
Well,,”,,add,,,,p,w_p_pre,,,
",",,when,,,,,,,,,,
that,,the,,,,,,,,,,
’,,portrait,,,,,,,,,,
s,,of,,,,,,,,,,
it,,the,,,,,,,,,,
then,,Fat,,,,,,,,,,
",",,Lady,,,,,,,,,,
isn,,swung,,,,,,,,,,
’,,open,,,,,,,,,,
t,,and,,,,,,,,,,
it,,Hermione,,,,,,,,,,
?”,,came,,,,,,,,,,
Harry,,in,,,,,,,,,,
said,,.,,,,EOS,,p,w_p_pre,,,
.,,“,,,,BOS,,p,w_p_fol,,,
The,,I’m,,,I,,,,,,,
other,,,’,,,,,,,,,
two,,,m,,,,,,,,,
stared,,sorry,,,,,,,,,,
at,,",",,,,,,p,w_p_pre,,,
him,,Harry,,,,,,,,,,
.,,!,,,!”,,,p,w_p_pre,,,
He,,”,,add,,,,p,w_p_pre,,,
was,,she,,,,,,,,,,
pale,,wailed,,,,,,,,,,
and,,.,,,,EOS,,p,w_p_pre,,,
his,,“,,,,BOS,,p,w_p_fol,,,
eyes,,Snape,,,,,,,,,,
were,,came,,,,,,,,,,
glittering,,out,,,,,,,,,,
.,,and,,,,,,,,,,
“,,asked,,,,,,,,,,
I,,me,,,,,,,,,,
’,,what,,,,,,,,,,
m,,I,,,,,,,,,,
going,,was,,,,,,,,,,
out,,doing,,,,,,,,,,
of,,",",,,,,,p,w_p_pre,,,
here,,so,,,,,,,,,,
tonight,,I,,,,,,,,,,
and,,said,,,,,,,,,,
I,,I,,,,,,,,,,
’,,was,,,,,,,,,,
m,,waiting,,,,,,,,,,
going,,for,,,,,,,,,,
to,,Flitwick,,,,,,,,,,
try,,",",,,,,,p,w_p_pre,,,
and,,and,,,,,,,,,,
get,,Snape,,,,,,,,,,
to,,went,,,,,,,,,,
the,,to,,,,,,,,,,
Stone,,get,,,,,,,,,,
first,,him,,,,,,,,,,
.”,,",",,,,,,p,w_p_pre,,,
“,,and,,,,,,,,,,
You,,I’ve,,,I,,,,,,,
’,,,’,,,,,,,,,
re,,,ve,,,,,,,,,
mad,,only,,,,,,,,,,
!”,,just,,,,,,,,,,
said,,got,,,,,,,,,,
Ron,,away,,,,,,,,,,
.,,",",,,,,,p,w_p_pre,,,
“,,I,,,,,,,,,,
You,,don’t,,,don,,,,,,,
can,,,’,,,,,,,,,
’,,,t,,,,,,,,,
t,,know,,,,,,,,,,
!”,,where,,,,,,,,,,
said,,Snape,,,,,,,,,,
Hennione,,went,,,,,,,,,,
.,,.,,,.”,,,p,w_p_pre,,,
“,,”,,add,,EOS,,p,w_p_pre,,,
After,,“,,,,BOS,,p,w_p_fol,,,
what,,Well,,,,,,,,,,
McGonagall,,",",,,,,,p,w_p_pre,,,
and,,that’s,,,that,,,,,,,
Snape,,,’,,,,,,,,,
have,,,s,,,,,,,,,
said,,it,,,,,,,,,,
?,,then,,,,,,,,,,
You,,",",,,,,,p,w_p_pre,,,
’,,isn’t,,,isn,,,,,,,
ll,,,’,,,,,,,,,
be,,,t,,,,,,,,,
expelled,,it,,,,,,,,,,
!”,,?,,,?”,,,p,w_p_pre,,,
“,,”,,add,,,,p,w_p_pre,,,
SO,,Harry,,,,,,,,,,
WHAT,,said,,,,,,,,,,
”,,.,,,,EOS,EOP,p,w_p_pre,,,
Harry,,The,,,,BOS,BOP,,,,,
shouted,,other,,,,,,,,,,
.,,two,,,,,,,,,,
“,,stared,,,,,,,,,,
Don,,at,,,,,,,,,,
’,,him,,,,,,,,,,
t,,.,,,,EOS,,p,w_p_pre,,,
you,,He,,,,BOS,,,,,,
understand,,was,,,,,,,,,,
?,,pale,,,,,,,,,,
If,,and,,,,,,,,,,
Snape,,his,,,,,,,,,,
gets,,eyes,,,,,,,,,,
hold,,were,,,,,,,,,,
of,,glittering,,,,,,,,,,
the,,.,,,,EOS,,p,w_p_pre,,,
Stone,,“,,,,BOS,,p,w_p_fol,,,
",",,I’m,,,I,,,,,,,
Voldemort,,,’,,,,,,,,,
’,,,m,,,,,,,,,
s,,going,,,,,,,,,,
coming,,out,,,,,,,,,,
back,,of,,,,,,,,,,
!,,here,,,,,,,,,,
Haven,,tonight,,,,,,,,,,
’,,and,,,,,,,,,,
t,,I’m,,,I,,,,,,,
you,,,’,,,,,,,,,
heard,,,m,,,,,,,,,
what,,going,,,,,,,,,,
it,,to,,,,,,,,,,
was,,try,,,,,,,,,,
like,,and,,,,,,,,,,
when,,get,,,,,,,,,,
he,,to,,,,,,,,,,
was,,the,,,,,,,,,,
trying,,Stone,,,,,,,,,,
to,,first,,,,,,,,,,
take,,.,,,.”,,,p,w_p_pre,,,
over,,”,,add,,EOS,,p,w_p_pre,,,
?,,“,,,,BOS,,p,w_p_fol,,,
There,,You’re,,,You,,,,,,,
won,,,’,,,,,,,,,
’,,,re,,,,,,,,,
t,,mad,,,,,,,,,,
be,,!,,,!”,,,p,w_p_pre,,,
any,,”,,add,,,,p,w_p_pre,,,
Hogwarts,,said,,,,,,,,,,
to,,Ron,,,,,,,,,,
get,,.,,,,EOS,,p,w_p_pre,,,
expelled,,“,,,,BOS,,p,w_p_fol,,,
from,,You,,,,,,,,,,
!,,can’t,,,can,,,,,,,
He,,,’,,,,,,,,,
’,,,t,,,,,,,,,
ll,,!,,,!”,,,p,w_p_pre,,,
flatten,,”,,add,,,,p,w_p_pre,,,
it,,said,,,,,,,,,,
",",,Hermione,,,Hennione,,,,,,,
or,,.,,,,EOS,,p,w_p_pre,,,
turn,,“,,,,BOS,,p,w_p_fol,,,
it,,After,,,,,,,,,,
into,,what,,,,,,,,,,
a,,McGonagall,,,,,,,,,,
school,,and,,,,,,,,,,
for,,Snape,,,,,,,,,,
the,,have,,,,,,,,,,
Dark,,said,,,,,,,,,,
Arts,,?,,,,EOS,,p,w_p_pre,,,
!,,You’ll,,,You,BOS,,,,,,
Losing,,,’,,,,,,,,,
points,,,ll,,,,,,,,,
doesn,,be,,,,,,,,,,
’,,expelled,,,,,,,,,,
t,,!,,,!”,,,p,w_p_pre,,,
matter,,”,,add,,EOS,,p,w_p_pre,,,
anymore,,“,,,,BOS,,p,w_p_fol,,,
",",,SO,,,,,,,,,,
can,,WHAT,,,,,,,,,,
’,,”,,,,,,p,w_p_pre,,,
t,,Harry,,,,,,,,,,
you,,shouted,,,,,,,,,,
see,,.,,,,EOS,,p,w_p_pre,,,
?,,“,,,,BOS,,p,w_p_fol,,,
D,,Don’t,,,Don,,,,,,,
’,,,’,,,,,,,,,
you,,,t,,,,,,,,,
think,,you,,,,,,,,,,
he,,understand,,,,,,,,,,
’,,?,,,,EOS,,p,w_p_pre,,,
ll,,If,,,,BOS,,,,,,
leave,,Snape,,,,,,,,,,
you,,gets,,,,,,,,,,
and,,hold,,,,,,,,,,
your,,of,,,,,,,,,,
families,,the,,,,,,,,,,
alone,,Stone,,,,,,,,,,
if,,",",,,,,,p,w_p_pre,,,
Gryffindor,,Voldemort’s,,,Voldemort,,,,,,,
wins,,,’,,,,,,,,,
the,,,s,,,,,,,,,
house,,coming,,,,,,,,,,
cup,,back,,,,,,,,,,
?,,!,,,,EOS,,p,w_p_pre,,,
If,,Haven’t,,,Haven,BOS,,,,,,
I,,,’,,,,,,,,,
get,,,t,,,,,,,,,
caught,,you,,,,,,,,,,
before,,heard,,,,,,,,,,
I,,what,,,,,,,,,,
can,,it,,,,,,,,,,
get,,was,,,,,,,,,,
to,,like,,,,,,,,,,
the,,when,,,,,,,,,,
Stone,,he,,,,,,,,,,
",",,was,,,,,,,,,,
well,,trying,,,,,,,,,,
",",,to,,,,,,,,,,
I,,take,,,,,,,,,,
’,,over,,,,,,,,,,
ll,,?,,,,EOS,,p,w_p_pre,,,
have,,There,,,,BOS,,,,,,
to,,won’t,,,won,,,,,,,
go,,,’,,,,,,,,,
back,,,t,,,,,,,,,
to,,be,,,,,,,,,,
the,,any,,,,,,,,,,
Dursleys,,Hogwarts,,,,,,,,,,
and,,to,,,,,,,,,,
wait,,get,,,,,,,,,,
for,,expelled,,,,,,,,,,
Voldemort,,from,,,,,,,,,,
to,,!,,,,EOS,,p,w_p_pre,,,
find,,He’ll,,,He,BOS,,,,,,
me,,,’,,,,,,,,,
there,,,ll,,,,,,,,,
",",,flatten,,,,,,,,,,
it,,it,,,,,,,,,,
’,,",",,,,,,p,w_p_pre,,,
s,,or,,,,,,,,,,
only,,turn,,,,,,,,,,
dying,,it,,,,,,,,,,
a,,into,,,,,,,,,,
bit,,a,,,,,,,,,,
later,,school,,,,,,,,,,
than,,for,,,,,,,,,,
I,,the,,,,,,,,,,
would,,Dark,,,,,,,,,,
have,,Arts,,,,,,,,,,
",",,!,,,,EOS,,p,w_p_pre,,,
because,,Losing,,,,BOS,,,,,,
